grid_id,long,lat,marine_species_richness,PD,co1_genetic_diversity_mean,long_deg,lat_deg,long_dd,lat_dd,DepthMin,DepthMax,DepthMean,ClimZoneCode,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA,matched_CenterLong,matched_CenterLat
112,-9456579,-6737636,58,15.01986069,0.007614007,-94.56579,-67.37636,-94.56579,-67.37636,4313,4676,4552,SP,-0.785467982292175,0.143374994397163,33.4572143554688,34.7046813964844,1.98199995793402,0.206115007400513,340.374572753906,220.917053222656,257,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-94.75,-67.25
113,-9070679,-6737636,58,15.25219778,0.007082789,-90.70679,-67.37636,-90.70679,-67.37636,4075,4707,4445,SP,-0.790986001491547,0.152261003851891,33.4547348022461,34.7062950134277,1.95700000040233,0.217822000384331,340.252532958984,220.03776550293,188,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-90.75,-67.25
114,-8684779,-6737636,62,15.33466459,0.006811627,-86.84779,-67.37636,-86.84779,-67.37636,4075,4329,4197,SP,-0.793633997440338,0.181363001465797,33.4291877746582,34.7056427001953,2.0860000513494,0.229716002941132,343.101806640625,218.679443359375,243,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-86.75,-67.25
115,-8298879,-6737636,64,15.41723445,0.00768213,-82.98879,-67.37636,-82.98879,-67.37636,4179,4336,4240,SP,-0.822503983974457,0.196072995662689,33.4558219909668,34.7036666870117,2.19199992716312,0.252092987298965,345.41748046875,218.368011474609,375,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-82.75,-67.25
116,-7912979,-6737636,63,15.53471206,0.007913301,-79.12979,-67.37636,-79.12979,-67.37636,3836,4111,3971,SP,-0.87270200252533,0.235771000385284,33.4684028625488,34.6985664367676,2.16999999247491,0.290104985237122,346.756988525391,217.259231567383,334,0.0,712.862676363636,482.486323636364,-9999.0,0.0,0.0,0,,-79.25,-67.25
117,-7527079,-6737636,64,15.53471206,0.007913301,-75.27079,-67.37636,-75.27079,-67.37636,2814,3333,3077,SP,-0.908803999423981,0.406341999769211,33.4731674194336,34.7013092041016,1.9610000308603,0.333088010549545,348.752502441406,215.048294067383,243,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-75.25,-67.25
118,-7141179,-6737636,67,15.92656103,0.007819779,-71.41179,-67.37636,-71.41179,-67.37636,419,499,448,SP,-0.853290021419525,-0.406915992498398,33.3164558410645,34.7247352600098,2.20500002615154,0.365431010723114,360.109375,209.83984375,108,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-71.25,-67.25
119,-6755279,-6737636,64,15.96133356,0.008225981,-67.55279,-67.37636,-67.55279,-67.37636,0,588,117,SP,-1.13978600502014,-1.10657405853271,32.888298034668,33.8716468811035,7.7309999614954,0.218467995524406,366.469482421875,302.460327148438,8,693.266469654135,167.384810345865,0.0,1.0,0.0,0.0,0,,-67.75,-67.25
120,-6369379,-6737636,62,15.70549171,0.006907569,-63.69379,-67.37636,-63.69379,-67.37636,133,330,267,SP,-1.25791645050049,-1.20593822002411,33.0140495300293,33.9188957214355,7.48880626633763,0.426055312156677,356.774017333984,349.335601806641,65,406.540015228426,788.808984771574,0.0,1.0,0.0,0.0,0,,-63.75,-67.25
121,-5983479,-6737636,59,17.57049542,0.00602183,-59.83479,-67.37636,-59.83479,-67.37636,227,406,343,SP,-1.76171898841858,-1.52218294143677,33.3704872131348,34.5651397705078,6.52500009164214,0.732367992401123,359.305786132813,302.080902099609,141,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-59.75,-67.25
